time_window,accept_rate
04 08:00:00,1.0
04 08:20:00,1.0
04 08:40:00,0.7692307692307693
04 09:00:00,0.8888888888888888
04 09:20:00,0.8181818181818182
04 09:40:00,0.6470588235294118
04 10:00:00,0.5641025641025641
04 10:20:00,0.3673469387755102
04 10:40:00,0.375
04 11:00:00,0.34782608695652173
04 11:20:00,0.39285714285714285
04 11:40:00,0.32608695652173914
04 12:00:00,0.6842105263157895
04 12:20:00,0.8888888888888888
04 12:40:00,1.0
04 13:00:00,1.0
04 13:20:00,0.9285714285714286
04 13:40:00,1.0
04 14:00:00,1.0
04 14:20:00,1.0
04 14:40:00,1.0
04 15:00:00,1.0
04 15:20:00,1.0
04 15:40:00,1.0
04 16:00:00,0.9523809523809523
04 16:20:00,1.0
04 16:40:00,1.0
04 17:00:00,1.0
04 17:20:00,0.9473684210526315
04 17:40:00,0.7777777777777778
04 18:00:00,0.7804878048780488
04 18:20:00,0.5925925925925926
04 18:40:00,0.8260869565217391
04 19:00:00,0.6666666666666666
04 19:20:00,0.7857142857142857
04 19:40:00,0.875
04 20:00:00,0.8125
04 20:20:00,1.0
04 20:40:00,0.8333333333333334
05 08:00:00,1.0
05 08:20:00,0.875
05 08:40:00,0.8
05 09:00:00,0.8235294117647058
05 09:20:00,0.7419354838709677
05 09:40:00,0.7878787878787878
05 10:00:00,0.631578947368421
05 10:20:00,0.41935483870967744
05 10:40:00,0.47368421052631576
05 11:00:00,0.4155844155844156
05 11:20:00,0.5
05 11:40:00,0.5897435897435898
05 12:00:00,0.71875
05 12:20:00,0.9285714285714286
05 12:40:00,0.9411764705882353
05 13:00:00,1.0
05 13:20:00,0.9047619047619048
05 13:40:00,0.875
05 14:00:00,0.8
05 14:20:00,0.7333333333333333
05 14:40:00,0.7142857142857143
05 15:00:00,0.625
05 15:20:00,0.5882352941176471
05 15:40:00,0.5384615384615384
05 16:00:00,0.7
05 16:20:00,0.7380952380952381
05 16:40:00,0.90625
05 17:00:00,1.0
05 17:20:00,0.8947368421052632
05 17:40:00,0.7142857142857143
05 18:00:00,0.6274509803921569
05 18:20:00,0.7804878048780488
05 18:40:00,0.4864864864864865
05 19:00:00,0.725
05 19:20:00,0.7083333333333334
05 19:40:00,0.6521739130434783
05 20:00:00,0.8
05 20:20:00,1.0
05 20:40:00,0.875
06 08:00:00,0.8333333333333334
06 08:20:00,1.0
06 08:40:00,0.8125
06 09:00:00,0.896551724137931
06 09:20:00,0.84375
06 09:40:00,0.9333333333333333
06 10:00:00,0.8780487804878049
06 10:20:00,0.7358490566037735
06 10:40:00,0.6724137931034483
06 11:00:00,0.7213114754098361
06 11:20:00,0.8604651162790697
06 11:40:00,0.8
06 12:00:00,0.9565217391304348
06 12:20:00,0.9285714285714286
06 12:40:00,0.9166666666666666
06 13:00:00,0.9047619047619048
06 13:20:00,0.8484848484848485
06 13:40:00,0.8333333333333334
06 14:00:00,0.8529411764705882
06 14:20:00,0.8809523809523809
06 14:40:00,0.8723404255319149
06 15:00:00,0.7931034482758621
06 15:20:00,0.6764705882352942
06 15:40:00,0.2972972972972973
06 16:00:00,0.4
06 16:20:00,0.8333333333333334
06 16:40:00,0.9166666666666666
06 17:00:00,0.68
06 17:20:00,0.3191489361702128
06 17:40:00,0.21212121212121213
06 18:00:00,0.36764705882352944
06 18:20:00,0.125
06 18:40:00,0.43137254901960786
06 19:00:00,0.28846153846153844
06 19:20:00,0.36363636363636365
06 19:40:00,0.7142857142857143
06 20:00:00,0.5833333333333334
06 20:20:00,0.5384615384615384
06 20:40:00,0.7058823529411765
07 08:00:00,0.42857142857142855
07 08:20:00,0.5882352941176471
07 08:40:00,0.8125
07 09:00:00,0.75
07 09:20:00,0.68
07 09:40:00,0.7321428571428571
07 10:00:00,0.717948717948718
07 10:20:00,0.6666666666666666
07 10:40:00,0.6065573770491803
07 11:00:00,0.8461538461538461
07 11:20:00,0.72
07 11:40:00,0.7551020408163265
07 12:00:00,0.8333333333333334
07 12:20:00,0.9230769230769231
07 12:40:00,0.9130434782608695
07 13:00:00,0.9090909090909091
07 13:20:00,0.9666666666666667
07 13:40:00,0.875
07 14:00:00,0.7941176470588235
07 14:20:00,0.8421052631578947
07 14:40:00,0.835820895522388
07 15:00:00,0.7966101694915254
07 15:20:00,0.8823529411764706
07 15:40:00,0.9090909090909091
07 16:00:00,0.8367346938775511
07 16:20:00,0.8863636363636364
07 16:40:00,1.0
07 17:00:00,0.8095238095238095
07 17:20:00,0.7878787878787878
07 17:40:00,0.8928571428571429
07 18:00:00,0.9565217391304348
07 18:20:00,0.9090909090909091
07 18:40:00,0.8108108108108109
07 19:00:00,1.0
07 19:20:00,0.875
07 19:40:00,0.875
07 20:00:00,0.9
07 20:20:00,0.9375
07 20:40:00,0.5384615384615384
08 08:00:00,0.75
08 08:20:00,1.0
08 08:40:00,1.0
08 09:00:00,0.9090909090909091
08 09:20:00,0.8666666666666667
08 09:40:00,0.9444444444444444
08 10:00:00,0.967741935483871
08 10:20:00,0.9811320754716981
08 10:40:00,0.9069767441860465
08 11:00:00,0.9
08 11:20:00,0.9166666666666666
08 11:40:00,0.875
08 12:00:00,0.9545454545454546
08 12:20:00,0.9565217391304348
08 12:40:00,1.0
08 13:00:00,0.85
08 13:20:00,0.9411764705882353
08 13:40:00,0.975609756097561
08 14:00:00,0.9193548387096774
08 14:20:00,0.8490566037735849
08 14:40:00,0.9433962264150944
08 15:00:00,0.8985507246376812
08 15:20:00,0.9245283018867925
08 15:40:00,0.9215686274509803
08 16:00:00,0.8813559322033898
08 16:20:00,0.8181818181818182
08 16:40:00,0.875
08 17:00:00,0.967741935483871
08 17:20:00,0.8604651162790697
08 17:40:00,0.875
08 18:00:00,0.84375
08 18:20:00,0.9545454545454546
08 18:40:00,0.8571428571428571
08 19:00:00,0.7368421052631579
08 19:20:00,0.8148148148148148
08 19:40:00,0.8571428571428571
08 20:00:00,0.6923076923076923
08 20:20:00,0.76
08 20:40:00,0.7368421052631579
09 08:00:00,0.9
09 08:20:00,1.0
09 08:40:00,0.8333333333333334
09 09:00:00,0.9375
09 09:20:00,0.9583333333333334
09 09:40:00,0.96875
09 10:00:00,0.9310344827586207
09 10:20:00,1.0
09 10:40:00,0.8305084745762712
09 11:00:00,0.9565217391304348
09 11:20:00,0.918918918918919
09 11:40:00,0.9393939393939394
09 12:00:00,0.9047619047619048
09 12:20:00,0.9285714285714286
09 12:40:00,0.9166666666666666
09 13:00:00,0.8636363636363636
09 13:20:00,1.0
09 13:40:00,0.8648648648648649
