time_window,accept_rate,request,long_waiting,longwait_percent,medium_waiting_time
04 08:00:00,0.85,20,0,0.0,3.100411723057429
04 08:20:00,0.8636363636363636,22,3,0.13636363636363635,8.83719470024109
04 08:40:00,0.8055555555555556,36,4,0.1111111111111111,6.72507210969925
04 09:00:00,0.890625,64,6,0.09375,9.77418748140335
04 09:20:00,0.8166666666666667,60,13,0.21666666666666667,9.5759159859489
04 09:40:00,0.7407407407407407,81,27,0.3333333333333333,9.300198701046131
04 10:00:00,0.7087378640776699,103,40,0.3883495145631068,9.14272626168198
04 10:20:00,0.5161290322580645,124,63,0.5080645161290323,10.715664398308956
04 10:40:00,0.5098039215686274,153,82,0.5359477124183006,10.556358430335472
04 11:00:00,0.38620689655172413,145,84,0.5793103448275863,11.495165887338663
04 11:20:00,0.35384615384615387,130,74,0.5692307692307692,11.185592222770055
04 11:40:00,0.4444444444444444,135,67,0.4962962962962963,9.814942337947636
04 12:00:00,0.684931506849315,73,17,0.2328767123287671,8.395039697984854
04 12:20:00,0.8484848484848485,66,16,0.24242424242424243,7.885607911073245
04 12:40:00,0.85,40,1,0.025,4.7181871891021725
04 13:00:00,0.8461538461538461,26,0,0.0,3.3612861156463625
04 13:20:00,0.975,40,1,0.025,7.533299783865611
04 13:40:00,0.9032258064516129,31,0,0.0,3.2721035838127137
04 14:00:00,0.9722222222222222,36,1,0.027777777777777776,13.2375857035319
04 14:20:00,0.9523809523809523,42,4,0.09523809523809523,8.763511514001424
04 14:40:00,1.0,41,0,0.0,3.352591061592102
04 15:00:00,0.9803921568627451,51,0,0.0,
04 15:20:00,0.9782608695652174,46,1,0.021739130434782608,7.021363333861033
04 15:40:00,1.0,59,1,0.01694915254237288,5.218639000256856
04 16:00:00,0.9642857142857143,56,0,0.0,
04 16:20:00,0.9795918367346939,49,1,0.02040816326530612,5.2769708832105
04 16:40:00,0.9444444444444444,54,0,0.0,
04 17:00:00,1.0,59,0,0.0,
04 17:20:00,0.9230769230769231,65,3,0.046153846153846156,8.52310705780983
04 17:40:00,0.8888888888888888,45,1,0.022222222222222223,6.418354348341624
04 18:00:00,0.6845238095238095,168,54,0.32142857142857145,9.034793957752909
04 18:20:00,0.6046511627906976,129,57,0.4418604651162791,9.940176972189569
04 18:40:00,0.7070707070707071,99,27,0.2727272727272727,6.988702202853509
04 19:00:00,0.6576576576576577,111,36,0.32432432432432434,8.334389825190529
04 19:20:00,0.6842105263157895,95,26,0.2736842105263158,8.137068399928866
04 19:40:00,0.6265060240963856,83,26,0.3132530120481928,9.418846344758595
04 20:00:00,0.6585365853658537,82,10,0.12195121951219512,5.760086743150438
04 20:20:00,0.74,50,9,0.18,10.01286664644877
04 20:40:00,0.6938775510204082,49,13,0.2653061224489796,7.654304237206777
05 08:00:00,0.7941176470588235,34,9,0.2647058823529412,8.883038032622563
05 08:20:00,0.7906976744186046,43,17,0.3953488372093023,10.65620746421814
05 08:40:00,0.8333333333333334,60,14,0.23333333333333334,8.520748662471771
05 09:00:00,0.8111111111111111,90,15,0.16666666666666666,7.3899325914872
05 09:20:00,0.8113207547169812,106,17,0.16037735849056603,6.523449679827079
05 09:40:00,0.7075471698113207,106,34,0.32075471698113206,9.76323710108361
05 10:00:00,0.7054794520547946,146,58,0.3972602739726027,10.021798354410121
05 10:20:00,0.5078534031413613,191,86,0.450261780104712,10.370626443227133
05 10:40:00,0.5369458128078818,203,111,0.5467980295566502,10.671561001894766
05 11:00:00,0.555045871559633,218,99,0.4541284403669725,9.746325648112782
