time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent4,longwait_percent2,longwait_percent3
04 08:00:00,0.85,20,0,,,,
04 08:20:00,0.8636363636363636,22,3,0.22727272727272727,0.16363636363636364,0.15454545454545454,0.13636363636363635
04 08:40:00,0.8055555555555556,36,4,0.19444444444444445,0.13611111111111113,0.12777777777777777,0.1111111111111111
04 09:00:00,0.890625,64,6,0.15625,0.1125,0.10625,0.09375
04 09:20:00,0.8166666666666667,60,13,0.31666666666666665,0.24666666666666667,0.23666666666666666,0.21666666666666667
04 09:40:00,0.7407407407407407,81,27,0.5555555555555556,0.39999999999999997,0.37777777777777777,0.3333333333333333
04 10:00:00,0.7087378640776699,103,40,0.6019417475728155,0.4524271844660194,0.43106796116504853,0.3883495145631068
04 10:20:00,0.5161290322580645,124,63,0.782258064516129,0.5903225806451613,0.5629032258064516,0.5080645161290323
04 10:40:00,0.5098039215686274,153,82,0.8431372549019608,0.6281045751633987,0.5973856209150327,0.5359477124183006
04 11:00:00,0.38620689655172413,145,84,0.8620689655172413,0.6641379310344827,0.6358620689655172,0.5793103448275863
04 11:20:00,0.35384615384615387,130,74,0.8769230769230769,0.6615384615384615,0.6307692307692307,0.5692307692307692
04 11:40:00,0.4444444444444444,135,67,0.6962962962962963,0.5562962962962963,0.5362962962962964,0.4962962962962963
04 12:00:00,0.684931506849315,73,17,0.3424657534246575,0.2657534246575342,0.2547945205479452,0.2328767123287671
04 12:20:00,0.8484848484848485,66,16,0.30303030303030304,0.2606060606060606,0.2545454545454546,0.24242424242424243
04 12:40:00,0.85,40,1,0.05,0.0325,0.03,0.025
04 13:00:00,0.8461538461538461,26,0,,,,
04 13:20:00,0.975,40,1,0.025,0.025,0.025,0.025
04 13:40:00,0.9032258064516129,31,0,,,,
04 14:00:00,0.9722222222222222,36,1,0.05555555555555555,0.036111111111111115,0.03333333333333333,0.027777777777777776
04 14:20:00,0.9523809523809523,42,4,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
04 14:40:00,1.0,41,0,,,,
04 15:00:00,0.9803921568627451,51,0,,,,
04 15:20:00,0.9782608695652174,46,1,0.043478260869565216,0.02826086956521739,0.02608695652173913,0.021739130434782608
04 15:40:00,1.0,59,1,0.03389830508474576,0.022033898305084745,0.020338983050847456,0.01694915254237288
04 16:00:00,0.9642857142857143,56,0,,,,
04 16:20:00,0.9795918367346939,49,1,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
04 16:40:00,0.9444444444444444,54,0,,,,
04 17:00:00,1.0,59,0,,,,
04 17:20:00,0.9230769230769231,65,3,0.06153846153846154,0.05076923076923077,0.04923076923076923,0.046153846153846156
04 17:40:00,0.8888888888888888,45,1,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
04 18:00:00,0.6845238095238095,168,54,0.4642857142857143,0.3642857142857143,0.35,0.32142857142857145
04 18:20:00,0.6046511627906976,129,57,0.627906976744186,0.49767441860465117,0.4790697674418604,0.4418604651162791
04 18:40:00,0.7070707070707071,99,27,0.3939393939393939,0.3090909090909091,0.29696969696969694,0.2727272727272727
04 19:00:00,0.6576576576576577,111,36,0.45045045045045046,0.3621621621621622,0.34954954954954953,0.32432432432432434
04 19:20:00,0.6842105263157895,95,26,0.4421052631578947,0.3242105263157895,0.30736842105263157,0.2736842105263158
04 19:40:00,0.6265060240963856,83,26,0.46987951807228917,0.36024096385542165,0.3445783132530121,0.3132530120481928
04 20:00:00,0.6585365853658537,82,10,0.17073170731707318,0.13658536585365852,0.13170731707317074,0.12195121951219512
04 20:20:00,0.74,50,9,0.32,0.222,0.20800000000000002,0.18
04 20:40:00,0.6938775510204082,49,13,0.40816326530612246,0.3081632653061224,0.2938775510204082,0.2653061224489796
05 08:00:00,0.7941176470588235,34,9,0.38235294117647056,0.3,0.2882352941176471,0.2647058823529412
05 08:20:00,0.7906976744186046,43,17,0.4883720930232558,0.4232558139534884,0.41395348837209306,0.3953488372093023
05 08:40:00,0.8333333333333334,60,14,0.31666666666666665,0.25833333333333336,0.25,0.23333333333333334
05 09:00:00,0.8111111111111111,90,15,0.2777777777777778,0.2,0.18888888888888888,0.16666666666666666
05 09:20:00,0.8113207547169812,106,17,0.2830188679245283,0.1971698113207547,0.1849056603773585,0.16037735849056603
05 09:40:00,0.7075471698113207,106,34,0.5188679245283019,0.380188679245283,0.36037735849056607,0.32075471698113206
05 10:00:00,0.7054794520547946,146,58,0.5821917808219178,0.4527397260273972,0.43424657534246575,0.3972602739726027
05 10:20:00,0.5078534031413613,191,86,0.675392670157068,0.5178010471204189,0.4952879581151832,0.450261780104712
05 10:40:00,0.5369458128078818,203,111,0.8325123152709359,0.632512315270936,0.6039408866995074,0.5467980295566502
05 11:00:00,0.555045871559633,218,99,0.6284403669724771,0.5064220183486239,0.4889908256880734,0.4541284403669725
05 11:20:00,0.5581395348837209,172,88,0.75,0.583139534883721,0.5593023255813954,0.5116279069767442
05 11:40:00,0.7,130,52,0.5923076923076923,0.4576923076923077,0.43846153846153846,0.4
05 12:00:00,0.72,100,28,0.39,0.313,0.302,0.28
05 12:20:00,0.85,60,9,0.25,0.18000000000000002,0.16999999999999998,0.15
05 12:40:00,0.8805970149253731,67,12,0.2537313432835821,0.20149253731343283,0.19402985074626866,0.1791044776119403
05 13:00:00,0.9117647058823529,68,7,0.1323529411764706,0.11176470588235293,0.10882352941176471,0.10294117647058823
05 13:20:00,0.8524590163934426,61,6,0.13114754098360656,0.10819672131147541,0.10491803278688525,0.09836065573770492
05 13:40:00,0.7888888888888889,90,19,0.34444444444444444,0.2511111111111111,0.23777777777777775,0.2111111111111111
05 14:00:00,0.8020833333333334,96,17,0.25,0.19895833333333335,0.19166666666666665,0.17708333333333334
05 14:20:00,0.7615384615384615,130,40,0.4846153846153846,0.36076923076923073,0.3430769230769231,0.3076923076923077
05 14:40:00,0.7212121212121212,165,54,0.5151515151515151,0.3836363636363636,0.36484848484848487,0.32727272727272727
05 15:00:00,0.6564102564102564,195,85,0.6564102564102564,0.5020512820512821,0.48,0.4358974358974359
05 15:20:00,0.7006369426751592,157,61,0.5414012738853503,0.43439490445859874,0.41910828025477703,0.3885350318471338
05 15:40:00,0.6363636363636364,198,61,0.4595959595959596,0.35353535353535354,0.3383838383838384,0.30808080808080807
05 16:00:00,0.821656050955414,157,53,0.4840764331210191,0.38152866242038214,0.3668789808917198,0.3375796178343949
05 16:20:00,0.8559322033898306,118,19,0.22033898305084745,0.1788135593220339,0.17288135593220338,0.16101694915254236
05 16:40:00,0.9263157894736842,95,8,0.12631578947368421,0.09684210526315788,0.09263157894736843,0.08421052631578947
05 17:00:00,0.9620253164556962,79,2,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02531645569620253
05 17:20:00,0.8840579710144928,138,15,0.14492753623188406,0.11956521739130435,0.11594202898550725,0.10869565217391304
05 17:40:00,0.7428571428571429,140,38,0.42142857142857143,0.3164285714285714,0.30142857142857143,0.2714285714285714
05 18:00:00,0.6853146853146853,143,47,0.48951048951048953,0.3769230769230769,0.36083916083916084,0.32867132867132864
05 18:20:00,0.6544117647058824,136,52,0.5882352941176471,0.4441176470588235,0.4235294117647059,0.38235294117647056
05 18:40:00,0.6111111111111112,126,57,0.6111111111111112,0.5,0.48412698412698413,0.4523809523809524
05 19:00:00,0.7272727272727273,132,43,0.4772727272727273,0.3712121212121212,0.3560606060606061,0.32575757575757575
05 19:20:00,0.7254901960784313,102,27,0.4117647058823529,0.3088235294117647,0.29411764705882354,0.2647058823529412
05 19:40:00,0.8352941176470589,85,19,0.3176470588235294,0.25176470588235295,0.2423529411764706,0.2235294117647059
05 20:00:00,0.8,65,13,0.24615384615384617,0.21384615384615385,0.20923076923076922,0.2
05 20:20:00,0.7647058823529411,51,5,0.17647058823529413,0.12156862745098039,0.11372549019607843,0.09803921568627451
05 20:40:00,0.825,40,6,0.25,0.18,0.16999999999999998,0.15
06 08:00:00,0.8421052631578947,19,6,0.5263157894736842,0.37894736842105264,0.35789473684210527,0.3157894736842105
06 08:20:00,0.8648648648648649,37,7,0.2972972972972973,0.2216216216216216,0.2108108108108108,0.1891891891891892
06 08:40:00,0.8571428571428571,56,9,0.23214285714285715,0.18214285714285713,0.17500000000000002,0.16071428571428573
06 09:00:00,0.8765432098765432,81,15,0.2839506172839506,0.2148148148148148,0.2049382716049383,0.18518518518518517
06 09:20:00,0.8773584905660378,106,23,0.32075471698113206,0.2481132075471698,0.23773584905660378,0.2169811320754717
06 09:40:00,0.8727272727272727,110,22,0.2818181818181818,0.22454545454545455,0.21636363636363637,0.2
06 10:00:00,0.8394160583941606,137,27,0.30656934306569344,0.22992700729927007,0.21897810218978103,0.19708029197080293
06 10:20:00,0.7814569536423841,151,36,0.3443708609271523,0.27019867549668874,0.25960264900662255,0.23841059602649006
06 10:40:00,0.7976878612716763,173,43,0.3815028901734104,0.2884393063583815,0.27514450867052026,0.24855491329479767
06 11:00:00,0.7621951219512195,164,52,0.4695121951219512,0.3628048780487805,0.3475609756097561,0.3170731707317073
06 11:20:00,0.7581699346405228,153,48,0.43790849673202614,0.3509803921568628,0.33856209150326794,0.3137254901960784
06 11:40:00,0.7807017543859649,114,23,0.2982456140350877,0.2307017543859649,0.22105263157894736,0.20175438596491227
06 12:00:00,0.8604651162790697,86,13,0.19767441860465115,0.16511627906976745,0.16046511627906979,0.1511627906976744
06 12:20:00,0.8873239436619719,71,7,0.14084507042253522,0.11126760563380282,0.10704225352112676,0.09859154929577464
06 12:40:00,0.8970588235294118,68,5,0.08823529411764706,0.07794117647058824,0.07647058823529412,0.07352941176470588
06 13:00:00,0.9298245614035088,57,6,0.12280701754385964,0.11052631578947368,0.10877192982456141,0.10526315789473684
06 13:20:00,0.8842105263157894,95,17,0.2736842105263158,0.20736842105263156,0.19789473684210526,0.17894736842105263
06 13:40:00,0.8214285714285714,84,17,0.30952380952380953,0.23452380952380952,0.22380952380952382,0.20238095238095238
06 14:00:00,0.907563025210084,119,17,0.17647058823529413,0.15294117647058822,0.1495798319327731,0.14285714285714285
