"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"04 08:00:00","0.85","20","0","","","","","",""
"04 08:20:00","0.86363636363636","22","3","0.22727272727273","0.16363636363636","0.15454545454545","0.13636363636364","0.16363636363636","0.15454545454545"
"04 08:40:00","0.80555555555556","36","4","0.19444444444444","0.13611111111111","0.12777777777778","0.11111111111111","0.13611111111111","0.12777777777778"
"04 09:00:00","0.890625","64","6","0.15625","0.1125","0.10625","0.09375","0.1125","0.10625"
"04 09:20:00","0.81666666666667","60","13","0.31666666666667","0.24666666666667","0.23666666666667","0.21666666666667","0.24666666666667","0.23666666666667"
"04 09:40:00","0.74074074074074","81","27","0.55555555555556","0.4","0.37777777777778","0.33333333333333","0.4","0.37777777777778"
"04 10:00:00","0.70873786407767","103","40","0.60194174757282","0.45242718446602","0.43106796116505","0.38834951456311","0.45242718446602","0.43106796116505"
"04 10:20:00","0.51612903225806","124","63","0.78225806451613","0.59032258064516","0.56290322580645","0.50806451612903","0.59032258064516","0.56290322580645"
"04 10:40:00","0.50980392156863","153","82","0.84313725490196","0.6281045751634","0.59738562091503","0.5359477124183","0.6281045751634","0.59738562091503"
"04 11:00:00","0.38620689655172","145","84","0.86206896551724","0.66413793103448","0.63586206896552","0.57931034482759","0.66413793103448","0.63586206896552"
"04 11:20:00","0.35384615384615","130","74","0.87692307692308","0.66153846153846","0.63076923076923","0.56923076923077","0.66153846153846","0.63076923076923"
"04 11:40:00","0.44444444444444","135","67","0.6962962962963","0.5562962962963","0.5362962962963","0.4962962962963","0.5562962962963","0.5362962962963"
"04 12:00:00","0.68493150684932","73","17","0.34246575342466","0.26575342465753","0.25479452054794","0.23287671232877","0.34547945205479","0.33123287671233"
"04 12:20:00","0.84848484848485","66","16","0.3030303030303","0.26060606060606","0.25454545454545","0.24242424242424","0.33878787878788","0.33090909090909"
"04 12:40:00","0.85","40","1","0.05","0.0325","0.03","0.025","0.04225","0.039"
"04 13:00:00","0.84615384615385","26","0","","","","","",""
"04 13:20:00","0.975","40","1","0.025","0.025","0.025","0.025","0.0325","0.0325"
"04 13:40:00","0.90322580645161","31","0","","","","","",""
"04 14:00:00","0.97222222222222","36","1","0.055555555555555","0.036111111111111","0.033333333333333","0.027777777777778","0.046944444444444","0.043333333333333"
"04 14:20:00","0.95238095238095","42","4","0.095238095238095","0.095238095238095","0.095238095238095","0.095238095238095","0.12380952380952","0.12380952380952"
"04 14:40:00","1","41","0","","","","","",""
"04 15:00:00","0.98039215686274","51","0","","","","","",""
"04 15:20:00","0.97826086956522","46","1","0.043478260869565","0.028260869565217","0.026086956521739","0.021739130434783","0.036739130434782","0.033913043478261"
"04 15:40:00","1","59","1","0.033898305084746","0.022033898305085","0.020338983050847","0.016949152542373","0.02864406779661","0.026440677966102"
"04 16:00:00","0.96428571428571","56","0","","","","","",""
"04 16:20:00","0.97959183673469","49","1","0.020408163265306","0.020408163265306","0.020408163265306","0.020408163265306","0.026530612244898","0.026530612244898"
