time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
03 08:00:00,0.8333333333333334,6,2,0.5,0.3833333333333333,0.3333333333333333,0.3666666666666667
03 08:20:00,0.8333333333333334,6,0,,,,
03 08:40:00,0.625,8,0,,,,
03 09:00:00,1.0,9,0,,,,
03 09:20:00,1.0,6,0,,,,
03 09:40:00,0.9090909090909091,11,0,,,,
03 10:00:00,0.9285714285714286,14,1,0.14285714285714285,0.09285714285714286,0.07142857142857142,0.08571428571428572
03 10:20:00,0.9333333333333333,15,0,,,,
03 10:40:00,1.0,8,0,,,,
03 11:00:00,1.0,7,0,,,,
03 11:20:00,1.0,8,1,0.25,0.1625,0.125,0.15
03 11:40:00,1.0,13,1,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
03 12:00:00,1.0,15,5,0.5333333333333333,0.39333333333333337,0.3333333333333333,0.3733333333333333
03 12:20:00,0.6363636363636364,11,5,0.6363636363636364,0.509090909090909,0.45454545454545453,0.49090909090909096
03 12:40:00,1.0,10,2,0.2,0.2,0.2,0.2
03 13:00:00,1.0,3,0,,,,
03 13:20:00,1.0,6,1,0.3333333333333333,0.21666666666666667,0.16666666666666666,0.19999999999999998
03 13:40:00,0.9375,16,1,0.125,0.08125,0.0625,0.075
03 14:00:00,1.0,9,0,,,,
03 14:20:00,1.0,4,0,,,,
03 14:40:00,1.0,6,0,,,,
03 15:00:00,1.0,7,0,,,,
03 15:20:00,1.0,8,0,,,,
03 15:40:00,1.0,7,0,,,,
03 16:00:00,0.6666666666666666,6,0,,,,
03 16:20:00,0.875,8,0,,,,
03 16:40:00,1.0,7,0,,,,
03 17:00:00,0.9090909090909091,11,0,,,,
03 17:20:00,0.7857142857142857,14,3,0.2857142857142857,0.2357142857142857,0.21428571428571427,0.2285714285714286
03 17:40:00,0.7777777777777778,9,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
03 18:00:00,1.0,16,0,,,,
03 18:20:00,1.0,6,0,,,,
03 18:40:00,1.0,5,1,0.4,0.26,0.2,0.24
03 19:00:00,0.7619047619047619,21,2,0.14285714285714285,0.10952380952380951,0.09523809523809523,0.10476190476190476
03 19:20:00,0.5,2,2,1.0,1.0,1.0,1.0
03 19:40:00,1.0,6,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
03 20:00:00,0.75,4,0,,,,
03 20:20:00,1.0,2,0,,,,
03 20:40:00,1.0,1,0,,,,
04 08:00:00,1.0,6,1,0.3333333333333333,0.21666666666666667,0.16666666666666666,0.19999999999999998
04 08:20:00,1.0,3,0,,,,
04 08:40:00,0.8333333333333334,12,0,,,,
04 09:00:00,1.0,11,0,,,,
04 09:20:00,0.9565217391304348,23,1,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
04 09:40:00,1.0,16,0,,,,
04 10:00:00,0.9655172413793104,29,0,,,,
04 10:20:00,0.8947368421052632,19,0,,,,
04 10:40:00,0.88,25,0,,,,
04 11:00:00,0.9523809523809523,21,1,0.09523809523809523,0.06190476190476191,0.047619047619047616,0.05714285714285714
04 11:20:00,0.9,20,5,0.3,0.265,0.25,0.26
04 11:40:00,0.9166666666666666,12,1,0.16666666666666666,0.10833333333333334,0.08333333333333333,0.09999999999999999
04 12:00:00,1.0,11,0,,,,
04 12:20:00,1.0,2,0,,,,
04 12:40:00,1.0,9,0,,,,
04 13:00:00,0.8333333333333334,12,0,,,,
04 13:20:00,0.7777777777777778,18,0,,,,
04 13:40:00,0.96,25,0,,,,
04 14:00:00,1.0,24,0,,,,
04 14:20:00,0.9523809523809523,21,0,,,,
04 14:40:00,1.0,20,0,,,,
04 15:00:00,1.0,18,0,,,,
04 15:20:00,0.9545454545454546,22,1,0.09090909090909091,0.05909090909090909,0.045454545454545456,0.05454545454545454
04 15:40:00,0.875,16,0,,,,
04 16:00:00,0.8529411764705882,34,0,,,,
04 16:20:00,1.0,22,0,,,,
04 16:40:00,1.0,12,0,,,,
04 17:00:00,0.85,20,0,,,,
04 17:20:00,1.0,12,0,,,,
04 17:40:00,1.0,8,0,,,,
04 18:00:00,1.0,5,0,,,,
04 18:20:00,1.0,7,0,,,,
04 18:40:00,1.0,9,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
04 19:00:00,1.0,6,0,,,,
04 19:20:00,1.0,9,0,,,,
04 19:40:00,0.8,10,2,0.4,0.26,0.2,0.24
04 20:00:00,0.8888888888888888,9,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
04 20:20:00,1.0,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
04 20:40:00,0.75,4,1,0.25,0.25,0.25,0.25
05 08:00:00,1.0,6,0,,,,
05 08:20:00,1.0,4,0,,,,
05 08:40:00,1.0,8,0,,,,
05 09:00:00,0.875,8,0,,,,
05 09:20:00,1.0,18,0,,,,
05 09:40:00,1.0,13,0,,,,
05 10:00:00,0.8823529411764706,17,0,,,,
05 10:20:00,0.8,10,3,0.5,0.36,0.3,0.33999999999999997
05 10:40:00,0.9,10,2,0.3,0.22999999999999998,0.2,0.22000000000000003
05 11:00:00,1.0,26,2,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
05 11:20:00,0.875,24,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
05 11:40:00,0.7727272727272727,22,5,0.3181818181818182,0.2545454545454545,0.22727272727272727,0.24545454545454548
05 12:00:00,0.8695652173913043,23,5,0.34782608695652173,0.2565217391304348,0.21739130434782608,0.2434782608695652
05 12:20:00,0.9230769230769231,13,0,,,,
05 12:40:00,1.0,3,0,,,,
05 13:00:00,0.8,10,1,0.1,0.1,0.1,0.1
05 13:20:00,0.8,15,0,,,,
05 13:40:00,0.9545454545454546,22,1,0.09090909090909091,0.05909090909090909,0.045454545454545456,0.05454545454545454
05 14:00:00,0.9583333333333334,24,9,0.6666666666666666,0.46249999999999997,0.375,0.43333333333333335
05 14:20:00,1.0,24,1,0.08333333333333333,0.05416666666666667,0.041666666666666664,0.049999999999999996
05 14:40:00,0.896551724137931,29,1,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
05 15:00:00,0.7586206896551724,29,3,0.1724137931034483,0.12413793103448276,0.10344827586206896,0.11724137931034483
05 15:20:00,0.9523809523809523,21,1,0.09523809523809523,0.06190476190476191,0.047619047619047616,0.05714285714285714
05 15:40:00,0.9032258064516129,31,6,0.3548387096774194,0.24193548387096775,0.1935483870967742,0.22580645161290322
05 16:00:00,1.0,26,0,,,,
05 16:20:00,0.9166666666666666,24,0,,,,
05 16:40:00,0.9565217391304348,23,4,0.30434782608695654,0.21304347826086958,0.17391304347826086,0.19999999999999998
05 17:00:00,0.9411764705882353,17,4,0.4117647058823529,0.2882352941176471,0.23529411764705882,0.27058823529411763
05 17:20:00,1.0,13,0,,,,
05 17:40:00,0.8571428571428571,14,2,0.21428571428571427,0.16428571428571428,0.14285714285714285,0.15714285714285717
05 18:00:00,0.8888888888888888,18,1,0.1111111111111111,0.07222222222222223,0.05555555555555555,0.06666666666666667
05 18:20:00,0.9166666666666666,12,1,0.16666666666666666,0.10833333333333334,0.08333333333333333,0.09999999999999999
05 18:40:00,0.8571428571428571,7,0,,,,
05 19:00:00,1.0,7,0,,,,
05 19:20:00,1.0,10,0,,,,
05 19:40:00,1.0,4,0,,,,
05 20:00:00,1.0,8,0,,,,
05 20:20:00,1.0,5,0,,,,
05 20:40:00,1.0,1,0,,,,
06 08:00:00,1.0,2,0,,,,
06 08:20:00,0.9090909090909091,11,2,0.36363636363636365,0.23636363636363636,0.18181818181818182,0.21818181818181817
06 08:40:00,1.0,7,2,0.5714285714285714,0.37142857142857144,0.2857142857142857,0.34285714285714286
06 09:00:00,1.0,8,0,,,,
06 09:20:00,0.9230769230769231,13,1,0.15384615384615385,0.1,0.07692307692307693,0.0923076923076923
06 09:40:00,0.9230769230769231,13,0,,,,
06 10:00:00,0.75,20,1,0.1,0.065,0.05,0.06
06 10:20:00,0.8333333333333334,24,6,0.4166666666666667,0.3,0.25,0.2833333333333333
06 10:40:00,0.7692307692307693,13,2,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
06 11:00:00,0.9166666666666666,24,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
06 11:20:00,0.9583333333333334,24,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
06 11:40:00,0.9230769230769231,13,1,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
06 12:00:00,0.9473684210526315,19,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
06 12:20:00,1.0,15,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
06 12:40:00,0.8947368421052632,19,1,0.10526315789473684,0.06842105263157895,0.05263157894736842,0.06315789473684211
06 13:00:00,0.8666666666666667,15,0,,,,
06 13:20:00,0.875,8,0,,,,
06 13:40:00,0.8947368421052632,19,2,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
06 14:00:00,0.9375,16,0,,,,
06 14:20:00,0.9375,32,1,0.03125,0.03125,0.03125,0.03125
06 14:40:00,0.8846153846153846,26,8,0.46153846153846156,0.3538461538461538,0.3076923076923077,0.3384615384615385
06 15:00:00,0.84375,32,4,0.21875,0.153125,0.125,0.14375
06 15:20:00,0.8484848484848485,33,9,0.42424242424242425,0.3181818181818182,0.2727272727272727,0.30303030303030304
06 15:40:00,0.75,44,6,0.20454545454545456,0.15681818181818183,0.13636363636363635,0.15
06 16:00:00,0.9090909090909091,33,3,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
06 16:20:00,0.9,20,1,0.1,0.065,0.05,0.06
06 16:40:00,1.0,16,2,0.1875,0.14375,0.125,0.1375
06 17:00:00,0.7857142857142857,14,1,0.14285714285714285,0.09285714285714286,0.07142857142857142,0.08571428571428572
06 17:20:00,1.0,8,0,,,,
06 17:40:00,0.8125,16,2,0.25,0.1625,0.125,0.15
06 18:00:00,0.9333333333333333,15,0,,,,
06 18:20:00,1.0,7,0,,,,
06 18:40:00,0.9375,16,1,0.0625,0.0625,0.0625,0.0625
06 19:00:00,1.0,11,0,,,,
06 19:20:00,0.75,16,3,0.25,0.20625,0.1875,0.2
06 19:40:00,0.9,10,2,0.3,0.22999999999999998,0.2,0.22000000000000003
06 20:00:00,1.0,6,0,,,,
06 20:20:00,0.8571428571428571,7,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
06 20:40:00,0.8333333333333334,6,0,,,,
07 08:00:00,1.0,7,0,,,,
07 08:20:00,0.8333333333333334,6,1,0.3333333333333333,0.21666666666666667,0.16666666666666666,0.19999999999999998
07 08:40:00,1.0,8,0,,,,
07 09:00:00,1.0,10,0,,,,
07 09:20:00,0.9285714285714286,14,0,,,,
07 09:40:00,0.8260869565217391,23,0,,,,
07 10:00:00,0.9375,16,1,0.125,0.08125,0.0625,0.075
07 10:20:00,0.7575757575757576,33,3,0.15151515151515152,0.1090909090909091,0.09090909090909091,0.10303030303030303
07 10:40:00,0.8695652173913043,23,4,0.2608695652173913,0.19999999999999998,0.17391304347826086,0.19130434782608696
07 11:00:00,1.0,16,1,0.0625,0.0625,0.0625,0.0625
07 11:20:00,1.0,19,0,,,,
07 11:40:00,0.75,12,4,0.5833333333333334,0.4083333333333334,0.3333333333333333,0.3833333333333333
07 12:00:00,1.0,20,7,0.65,0.44000000000000006,0.35,0.41
07 12:20:00,0.9090909090909091,11,3,0.36363636363636365,0.3,0.2727272727272727,0.29090909090909095
07 12:40:00,0.625,16,5,0.5,0.36875,0.3125,0.35
07 13:00:00,0.9333333333333333,15,2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
07 13:20:00,0.875,8,0,,,,
07 13:40:00,0.9444444444444444,18,0,,,,
07 14:00:00,1.0,21,1,0.09523809523809523,0.06190476190476191,0.047619047619047616,0.05714285714285714
07 14:20:00,0.9642857142857143,28,2,0.10714285714285714,0.08214285714285714,0.07142857142857142,0.07857142857142858
07 14:40:00,0.9615384615384616,26,4,0.23076923076923078,0.1769230769230769,0.15384615384615385,0.16923076923076924
07 15:00:00,0.8636363636363636,22,3,0.22727272727272727,0.16363636363636364,0.13636363636363635,0.15454545454545454
07 15:20:00,0.95,20,1,0.05,0.05,0.05,0.05
