time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
03 08:00:00,0.8333333333333334,12,0,,,,
03 08:20:00,0.9333333333333333,15,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
03 08:40:00,1.0,40,1,0.05,0.0325,0.025,0.03
03 09:00:00,0.9555555555555556,45,2,0.06666666666666667,0.05111111111111111,0.044444444444444446,0.04888888888888889
03 09:20:00,0.9807692307692307,52,5,0.1346153846153846,0.10769230769230768,0.09615384615384616,0.10384615384615385
03 09:40:00,0.9107142857142857,56,1,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
03 10:00:00,0.9459459459459459,74,2,0.04054054054054054,0.03108108108108108,0.02702702702702703,0.02972972972972973
03 10:20:00,0.9176470588235294,85,3,0.03529411764705882,0.03529411764705882,0.03529411764705882,0.03529411764705882
03 10:40:00,0.9285714285714286,70,2,0.04285714285714286,0.032857142857142856,0.02857142857142857,0.03142857142857143
03 11:00:00,0.9545454545454546,66,3,0.06060606060606061,0.049999999999999996,0.045454545454545456,0.048484848484848485
03 11:20:00,0.8548387096774194,62,7,0.16129032258064516,0.12741935483870967,0.11290322580645161,0.12258064516129032
03 11:40:00,0.8947368421052632,57,3,0.08771929824561403,0.06315789473684211,0.05263157894736842,0.05964912280701754
03 12:00:00,0.94,50,6,0.16,0.132,0.12,0.128
03 12:20:00,0.8979591836734694,49,8,0.22448979591836735,0.1816326530612245,0.16326530612244897,0.17551020408163265
03 12:40:00,0.9375,32,1,0.0625,0.040625,0.03125,0.0375
03 13:00:00,0.9615384615384616,52,0,,,,
03 13:20:00,0.975609756097561,82,5,0.08536585365853659,0.06829268292682926,0.06097560975609756,0.06585365853658537
03 13:40:00,0.9571428571428572,70,0,,,,
03 14:00:00,0.9108910891089109,101,7,0.0891089108910891,0.07524752475247524,0.06930693069306931,0.07326732673267328
03 14:20:00,0.9506172839506173,81,6,0.09876543209876543,0.08148148148148147,0.07407407407407407,0.07901234567901234
03 14:40:00,0.9222222222222223,90,4,0.06666666666666667,0.05111111111111111,0.044444444444444446,0.04888888888888889
03 15:00:00,0.7938144329896907,97,2,0.041237113402061855,0.026804123711340208,0.020618556701030927,0.024742268041237112
03 15:20:00,0.9603960396039604,101,3,0.039603960396039604,0.032673267326732675,0.0297029702970297,0.031683168316831684
03 15:40:00,0.9361702127659575,94,2,0.031914893617021274,0.024468085106382976,0.02127659574468085,0.02340425531914894
03 16:00:00,0.9518072289156626,83,2,0.03614457831325301,0.027710843373493974,0.024096385542168676,0.026506024096385545
03 16:20:00,0.9358974358974359,78,5,0.08974358974358974,0.07179487179487179,0.0641025641025641,0.06923076923076923
03 16:40:00,0.9090909090909091,66,1,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152
03 17:00:00,0.9506172839506173,81,2,0.037037037037037035,0.02839506172839506,0.024691358024691357,0.027160493827160497
03 17:20:00,0.92,50,2,0.06,0.046,0.04,0.044000000000000004
03 17:40:00,0.9310344827586207,58,3,0.06896551724137931,0.05689655172413793,0.05172413793103448,0.055172413793103454
03 18:00:00,0.9682539682539683,63,4,0.09523809523809523,0.073015873015873,0.06349206349206349,0.06984126984126984
03 18:20:00,0.9148936170212766,47,2,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617
03 18:40:00,0.8846153846153846,52,8,0.25,0.18269230769230768,0.15384615384615385,0.17307692307692307
03 19:00:00,0.9047619047619048,42,3,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
03 19:20:00,1.0,34,3,0.17647058823529413,0.11470588235294117,0.08823529411764706,0.10588235294117647
03 19:40:00,1.0,50,2,0.08,0.052000000000000005,0.04,0.048
03 20:00:00,0.8333333333333334,30,5,0.23333333333333334,0.18666666666666665,0.16666666666666666,0.18000000000000002
03 20:20:00,0.8333333333333334,24,5,0.3333333333333333,0.24583333333333335,0.20833333333333334,0.2333333333333333
03 20:40:00,0.9333333333333333,15,2,0.2,0.15333333333333332,0.13333333333333333,0.14666666666666667
04 08:00:00,0.8333333333333334,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
04 08:20:00,0.96875,32,0,,,,
04 08:40:00,0.9655172413793104,58,0,,,,
04 09:00:00,0.9253731343283582,67,7,0.1791044776119403,0.12686567164179105,0.1044776119402985,0.11940298507462686
04 09:20:00,0.9381443298969072,97,8,0.13402061855670103,0.0979381443298969,0.08247422680412371,0.09278350515463918
04 09:40:00,0.9090909090909091,77,6,0.11688311688311688,0.08961038961038961,0.07792207792207792,0.08571428571428572
04 10:00:00,0.97,100,8,0.12,0.092,0.08,0.08800000000000001
04 10:20:00,0.9775280898876404,89,6,0.11235955056179775,0.08089887640449439,0.06741573033707865,0.07640449438202247
04 10:40:00,0.956140350877193,114,3,0.05263157894736842,0.034210526315789476,0.02631578947368421,0.031578947368421054
04 11:00:00,0.911504424778761,113,6,0.07964601769911504,0.06106194690265487,0.05309734513274336,0.0584070796460177
04 11:20:00,0.9166666666666666,108,2,0.037037037037037035,0.024074074074074074,0.018518518518518517,0.022222222222222223
04 11:40:00,0.9487179487179487,78,1,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282
04 12:00:00,0.9411764705882353,68,5,0.1323529411764706,0.0911764705882353,0.07352941176470588,0.08529411764705883
04 12:20:00,0.8769230769230769,65,10,0.18461538461538463,0.16307692307692306,0.15384615384615385,0.16
04 12:40:00,0.8809523809523809,84,6,0.10714285714285714,0.08214285714285714,0.07142857142857142,0.07857142857142857
04 13:00:00,0.9358974358974359,78,5,0.08974358974358974,0.07179487179487179,0.0641025641025641,0.06923076923076923
